Категория,Вопросы,Ответ,Квартал
Даурен,"На каждом собрании Вы, Даурен, постоянно упоминаете о том что сотрудники для компании на первом месте, ведь мы все команда включек, которая делает продукты для пользы общества. Но почему некоторые руководители к нам относятся как к просто ресурсу? Обещания данные даже 2 года назад все еще не были выполнены, обещания которые даются сейчас - отменяются самими руководителями почти на следующую неделю. У нас со стороны такая крутая компания, работающая как большая и дружная, но неблагополучная семья, у которых все дети(сотрудники) дружны, дедушка(Вы) - отличный и заботливый человек , но родители(менеджеры компаний) - тираны, загоняющие нас до состояния выгорания. Мы хотим делать крутые продукты, но когда сверху требуют чтобы каждый наш чих приносил прибыль - становится невозможно...Простите, крик души. Мы приходили в эту компанию чтобы сделать мир лучше, но получилось так, что вынуждены уйти лишь бы остаться психически здоровым.","Спасибо за сообщение, достаточно эмоциональное. Нужны конретные кейсы и мы разберемся. У меня просьба к автору этого сообщения, возможно есть другие подобные случаи и мне нужно знать, чтобы реагировать. Я за прозрачность, за открытость.",Q1 2025
Event,"Поздравление на новый год у многих спутали пол сотрудника. Поздравив сына, как на деле работала дочь 🤡. Понимаю все устали, недоглядели, но нас всего 70 в компании и у каждой компании свой эйчар и не один) в прошлом году были такие же ошибки. Прошу доглядеть такие моменты, все же неудобно перед родителями было😂","Спасибо за обратную. У нас было подготовленно 450 видео поздравлений, которые делал один Костя. Были ошибки, поэтому приношу свои изменения",Q1 2025
Даурен ,"Внутри команд наблюдается недостаток коммуникации, это влияет на понимание общих задач, на процесс адаптации новых сотрудников и общую вовлеченность в проект. Также хочется больше инициативности от проектных менеджеров, тимлидов и скрам-мастеров в обучении сотрудников и в построении коммуникации в команде.","В целом, согласен. Есть такие проблемы. Я буду связывать с тем, что нехватка навыков коммункации. Бдуем над этим работать в рамках академии",Q1 2025
Даурен,"Здравствуйте, хотела бы обратить внимание на вопрос, касающийся управления проектами в компании. В текущем процессе проектный менеджер занимается в основном административной работой, бюджетированием и долго стратегическими документами, которые быстро теряют актуальность. В то же время управление самим проектом, включая контроль хода работ, распределение задач и координацию команды, фактически ложится на аналитика. Однако аналитик – такой же член команды разработки, как и разработчики, и его основная роль всё же связана с анализом, а не с управлением.Такая ситуация снижает эффективность работы и приводить к тому, что проекты управляются не системно. Возможно, стоит рассмотреть меры по укреплению института управления проектами, чтобы роли и обязанности были более четко распределены, а управление проектами выполнялось на должном уровне.",Этот вопрос отнесем к предыдущему. Будем в рамках обучения прокачивать всех сразу.,Q1 2025
Даурен,"Считаю, что желание платить зарплату в долларах, про что уже раструбили в соцсетях, не вяжется с патриотизмом. Неверие в национальную валюту, транслируемое от руководства компании - это непатриотично.","Окей, хорошоМы не собираемся платить зарплату в долларх, а собираемся в эквиваленте доллара. Это все будет конвертироваться в тенге.",Q1 2025
Даурен,Радует что компания с каждым днём растет и расширяется:) но в последнее время в компании наблюдается и кадровый кризис. Возможно ли это с возможной не компетентностью PM-ов и прочих руководителей среднего звена в плане менеджмента?,"Надо посмотреть, где кадровый кризис. В некоторых компаниях есть, это наблюдается, но это не повсеместно",Q1 2025
Даурен,"раньше были курсы для сотрудников такие как техорда, сейчас такого нету ? если нет то будет ли? (очень хотелось бы)","Не как тех орда будет, но будут курсы",Q1 2025
Даурен,"Я бы предложил внедрить систему ежеквартальной аккредитации всех сотрудников, включая всех руководителей. Это важно для постоянного совершенства самих сотрудников и качества кадров в каждом уровне должностей. Эта система была бы хорошим импактом для быстрой ориентации во всех процессах для новичков и для улучшения скилла менторства и менеджмента уже для опытных сотрудников вне зависимости от должности. К этому же и психологическую аккредитацию бы так же сюда добавил бы. Тоже очень важный момент.","Давайте так, это будет происходить в новой оргструктуре в части образования. Не факт, что ежеквартально, но переодически",Q1 2025
Финансисты,"Появится ли опция получать зп на Фридом. Если нет, то почему?","Изучим этот вопрос, сравним с другими банками",Q1 2025
Даурен,"Добрый день, Даурен! Подскажите сколько книг вы прочитали за 2024 год? И какие бы 3 книги посоветовали прочесть в 2025?",около 8ми книг прочиталРекомендую:Алмазный огранщикВойна за талантыГормоны счастья,Q1 2025
Даурен,"Назовите 3 ваши любимых заведения , и что чаще всего заказываете из блюд ?","Ресторан на ""На Крыше"", ""Негрони"", ""Зина"". Если ресторан на крыше - то стейк.",Q1 2025
Даурен,"Добрый день, Даурен. Поздравляю с 10 летием BFE! Круто! Очень рада что наша компания развивается и растет. Сейчас многие бизнесмены (наблюдения из инсты и ютуба) проходят всяческие обучения, скажите если не секрет вы проходили обучение? Если да то какое? Понравилось ли вам? Какие инсайты взяли для себя?","Я обучение редко прохожу. последнее было в Сколково. В основном Ютуб, подксасты слушаю. Сейчас много слушаю Соколовского. Есть про здоровье Galym Yourself",Q1 2025
Event,Здравствуйте! Когда снова появится плюшка психолог? 😇,Она возобновится в феврале,Q1 2025
Event,"Добрый день, Даурен! Пожалуйста, верните услугу психологической поддержки. Это была самая крутая плюшка.",Она возобновится в феврале,Q1 2025
Event ,"Даурен, добрый день!Прошу вернуть оплату за услуги психолога, покрываемые компанией.Спасибо!",Она возобновится в феврале,Q1 2025
Event ,"Корпоративное ""Онлайн BFE Radio""Идея, не нова, но заключается в запуске корпоративного онлайн-радио для наших коллег на праздники и в особенные события компании. Эфиры можно транслировать в такие дни из подкаст рума.Концепция:1.	Живой ведущий — Ведущий координирует эфир, делится увлекательными историями о компании, поздравлениями и анонсирует выступления гостей, создавая атмосферу праздника.2.	Гости компании и их истории — Приглашенные гости, например, сотрудники, могут делиться историями о своем опыте работы, достижениях команды или рассказывать забавные случаи, произошедшие за время их работы.3.	Музыка на любой вкус — В зависимости от праздника можно сделать тематические плейлисты. Добавить рубрики по заявкам, где сотрудники смогут передавать друг другу музыкальные приветы.4.	Эфир для тех, кто создает музыку — Пространство для творческих сотрудников, где можно представить свои треки и музыку, добавляя уникальности эфиру.5.	Рубрика ""Секреты от коллег"" — Советы на праздничную тему, кулинарные лайфхаки, идеи для хобби и полезные рекомендации. 6.	Игры и викторины — Викторины по истории компании с возможностью выиграть небольшие призы, что добавляет духа вовлеченности.7.	Поздравления в прямом эфире — Возможность каждому сотруднику или отделу поздравить коллег, поделиться позитивными новостями или пожелать удачи.Дополнительные идеи:1.	Мастер-классы в прямом эфире – Возможность провести для коллег мастер классы по организации работы и прочее.2.	Архив записей — Запись эфиров, чтобы их можно было переслушивать в любой момент или делиться ими с теми, кто не смог подключиться.3.	Выездные эфиры — Если формат возможен, запланировать эфиры с выездом на локации, где проходит корпоративное мероприятие.","По радио мы не планируем, запускать не будем",Q1 2025
Event,"Как предложение: у нас есть хорошая рубрика, когда на одном из каналов БФЕ знакомят с новыми сотрудниками, а вот если еще писалы бы об уволенных, а то ищешь человека, а он оказывается уже не работает, или пишешь по работе, а он уже как месяц ушел. Ну вообще раз есть пришедшие, была хорошо знать кто ушел.","Я считаю, что это не этично, некорректно. Каждый сотрудник уходит по разному из компании.",Q1 2025
Даурен,"Добрый день. По вопросу онбординга предлагаю рассмотреть концепцию символического значения каждой планеты. Использование изображения кота на карточке нового сотрудника в качестве символа первого космонавта представляется удачной идеей; но было бы неплохо если каждый сотрудник будет иметь персональную карточку с индивидуальным изображением кота или других животных согласно предпочтению каждого сотрудника. Например: на персональных карточках руководителей будет изображён кот-коммандир, заместителей – коты-майоры и так далее по рангу. Идея онбординга, реализованная впервые как мне сказали ранее, мне очень понравилась, учитывая мою заинтересованность в космосе. Я с радостью присоединилась к команде ""космонавтов"" 7G и уже как месяц и тринадцать дней становлюсь ближе со своим экипажем. В будущем было бы целесообразно рассмотреть возможность перехода на электронные идентификаторы или же оставить карточные, дополнив их описанием и девизом каждого сотрудника, что позволит создать полную картину экипажа космического корабля BFE =^___^=. Хотелось бы добавить, что «космос», описанный выше включает не только космическое пространство в общепринятом смысле, но и четырёхмерное пространство, время и связь, а также взаимосвязи, которые и так являются частью экосистемы. Благодарю за прочтение. Хорошего дня. (Космонавт Асем, являюсь частью экипажа ""Export Team"")","Спасибо, Асем. Классная обратная связь, классное предложение. Жанель, подключайся. Мы подумаем. Я не согласен с градацией, мы все равны.",Q1 2025
Даурен,"Добрый день. По вопросу онбординга предлагаю рассмотреть концепцию символического значения каждой планеты. Использование изображения кота на карточке нового сотрудника в качестве символа первого космонавта представляется удачной идеей; но было бы неплохо если каждый сотрудник будет иметь персональную карточку с индивидуальным изображением кота или других животных согласно предпочтению каждого сотрудника. Например: на персональных карточках руководителей будет изображён кот-коммандир, заместителей – коты-майоры и так далее по рангу. Идея онбординга, реализованная впервые как мне сказали ранее, мне очень понравилась, учитывая мою заинтересованность в космосе. Я с радостью присоединилась к команде ""космонавтов"" 7G и уже как 2 месяца становлюсь ближе со своим экипажем. В будущем было бы целесообразно рассмотреть возможность перехода на электронные идентификаторы или же оставить карточные, дополнив их описанием и девизом каждого сотрудника, что позволит создать полную картину экипажа космического корабля BFE =^___^=. Хотелось бы добавить, что «космос», описанный выше включает не только космическое пространство в общепринятом смысле, но и четырёхмерное пространство, время и связь, а также взаимосвязи, которые и так являются частью экосистемы.Благодарю за прочтение. Хорошего дня. (Космонавт Асем, являюсь частью экипажа ""Отдел Экспорта"")","Спасибо, Асем. Классная обратная связь, классное предложение. Жанель, подключайся. Мы подумаем. Я не согласен с градацией, мы все равны.",Q1 2025
